nama_produk,badges,count_rating,disc_percent,harga,rating,rating_avg,nama_toko,lokasi,official,powerbadge,terjual
Hampers Mangkok Set Japanese Bowl Hampers Natal Idul Fitri Set Mangkok,Power Merchant Pro Badge,207,0,49000,5,5.0,Exa Living,Bodetabek,False,True,1000
Hampers Parcel Lebaran Ramadan Ketupat Mayora 2023 - 125k,No Badges,85,38,125000,5,5.0,Mayora Official Store,Surabaya,True,True,250
Parsel Ramadan Paper Bag Toples Parcel Lebaran Box Hampers Idul Fitri,Power Merchant Pro Badge,631,0,5000,5,5.0,kotak_kue_murah,Jakarta,False,True,10000
Hampers Hijab Box Kerudung Voal Motif Gift box Kado Lebaran Ramadhan,Power Merchant Pro Badge,38,0,26000,5,4.9,KUBA PROJECT,Jakarta,False,True,500
Parcel Ramadhan Cangkir Keramik Kado Ulang Tahun Pernikahan Set 6 in 1,Power Merchant Pro Badge,439,7,82000,5,4.7,KASMA_STORE,Jakarta,False,True,1000
Hampers Parcel Lebaran Ramadhan idul fitri Bellarosa Paket Lengkap,Official Store,415,5,41888,5,4.8,lbagstore,Bodetabek,True,True,3000
Box Hampers Lebaran/ Box Sliding 3 Toples,Power Merchant Pro Badge,55,0,17500,5,5.0,madamebakeshop,Surabaya,False,True,1000
HAMPERS LEBARAN HAMPERS IDUL FITRI SET MANGKOK JEPANG MANGKOK IMPORT,Power Merchant Pro Badge,66,0,51500,5,4.9,Bing Bing Jewelery,Bodetabek,False,True,250
PAKET HAMPERS IDUL FITRI LEBARAN MUSLIM SAJADAH SARUNG BOX BIRU 2,Power Merchant Pro Badge,1216,0,110000,5,4.8,jaya hebat,Bodetabek,False,True,6000
PAKET COKLAT PRIORITAS DREAM BELLAROSA BINGKISAN KUE LEBARAN,Power Merchant Pro Badge,163,2,46000,5,4.7,ALL STARS STORE ID,Jakarta,False,True,500
Pouch Hampers Gift Bag Natal Imlek Lebaran Premium Tas Kantong Kado,Power Merchant Pro Badge,7,0,62900,5,4.9,CASA CHIC,Jakarta,False,True,100
Hampers Parcel Lebaran Ramadan Ketupat Mayora 2023 - 100k,No Badges,23,33,100000,5,5.0,Mayora Official Store,Surabaya,True,True,100
Japanese Bowl set isi 2 Paket Mangkok Lebaran Idul Fitri Eid Hampers,Official Store,89,16,65000,5,4.9,petite maison indonesia,Jakarta,True,True,750
MESIR COOKING SET HAMPERS PERNIKAHAN KADO WEDDING PARCEL LEBARAN,Power Merchant Pro Badge,66,10,66600,5,5.0,Giftsetforyouu,Malang,False,True,100
hampers pria hampers sarung hampers murah hampers ramadhan hampers oke,Power Merchant Pro Badge,45,0,33000,5,4.6,grosirmukena1,Surabaya,False,True,250
