Kategorie: Alle Kategorien,
,
Propinsi,perc
DKI JAKARTA,100
DAERAH ISTIMEWA YOGYAKARTA,90
BANTEN,86
JAWA TIMUR,79
JAWA TENGAH,74
JAWA BARAT,68
KEPULAUAN RIAU,58
KALIMANTAN UTARA,57
KALIMANTAN TIMUR,55
KALIMANTAN SELATAN,47
BANGKA BELITUNG,45
KALIMANTAN TENGAH,44
SUMATERA SELATAN,44
LAMPUNG,42
NUSATENGGARA BARAT,38
JAMBI,34
SULAWESI SELATAN,33
SULAWESI BARAT,33
KALIMANTAN BARAT,33
PAPUA BARAT,33
RIAU,32
SULAWESI TENGAH,32
PAPUA,28
MALUKU UTARA,28
SUMATERA UTARA,25
BALI,23
SUMATERA BARAT,23
BENGKULU,23
SULAWESI TENGGARA,22
GORONTALO,20
DI.ACEH,16
SULAWESI UTARA,10
MALUKU,9
NUSA TENGGARA TIMUR,8
